solver,jobs,elapsed,value
GurobiSolver,1,1.085000008060888e-06,
CombinatorialBnB,1,1.0119999842572724e-06,
GurobiSolver,1,3.3449999818913057e-06,
CombinatorialBnB,1,1.1170000107085798e-06,
GurobiSolver,1,1.1070000027757487e-06,
CombinatorialBnB,1,1.0019999763244414e-06,
GurobiSolver,1,1.1390000054234406e-06,
CombinatorialBnB,1,9.039999895321671e-07,
GurobiSolver,1,1.1739999763449305e-06,
CombinatorialBnB,1,2.198999936808832e-06,
GurobiSolver,1,1.5760000451336964e-06,
CombinatorialBnB,1,1.1829999948531622e-06,
GurobiSolver,1,1.0320000001229346e-06,
CombinatorialBnB,1,8.790000265435083e-07,
GurobiSolver,1,1.311999994868529e-06,
CombinatorialBnB,1,1.4870000768496539e-06,
GurobiSolver,1,1.2210000477352878e-06,
CombinatorialBnB,1,9.219999128617928e-07,
GurobiSolver,1,1.2420000530255493e-06,
CombinatorialBnB,1,8.669999260746408e-07,
GurobiSolver,1,1.2330000345173175e-06,
CombinatorialBnB,1,9.450000106880907e-07,
GurobiSolver,1,1.3400000398178236e-06,
CombinatorialBnB,1,1.251000071533781e-06,
GurobiSolver,1,1.0149999525310704e-06,
CombinatorialBnB,1,8.81000005392707e-07,
GurobiSolver,1,9.4600000011269e-07,
CombinatorialBnB,1,1.0179999208048685e-06,
GurobiSolver,1,1.782000026651076e-06,
CombinatorialBnB,1,1.0320000001229346e-06,
GurobiSolver,1,9.970000292014447e-07,
CombinatorialBnB,1,9.249999948224286e-07,
GurobiSolver,1,8.759999445828726e-07,
CombinatorialBnB,1,8.519999710188131e-07,
GurobiSolver,1,3.734999950211204e-06,
CombinatorialBnB,1,1.0549999842623947e-06,
GurobiSolver,1,1.0109999948326731e-06,
CombinatorialBnB,1,1.261000079466612e-06,
GurobiSolver,1,9.520000503471238e-07,
CombinatorialBnB,1,9.249999948224286e-07,
GurobiSolver,1,1.2409999499141122e-06,
CombinatorialBnB,1,8.770000476943096e-07,
GurobiSolver,1,2.1099999685247894e-06,
CombinatorialBnB,1,8.019999313546577e-07,
GurobiSolver,1,1.1060000133511494e-06,
CombinatorialBnB,1,7.990000767676975e-07,
GurobiSolver,1,1.165999947261298e-06,
CombinatorialBnB,1,1.202000021294225e-06,
GurobiSolver,1,1.0569999631115934e-06,
CombinatorialBnB,1,9.749999207997462e-07,
GurobiSolver,1,1.3269999499243568e-06,
CombinatorialBnB,1,1.0129999736818718e-06,
GurobiSolver,1,1.740000016070553e-06,
CombinatorialBnB,1,1.0730000212788582e-06,
GurobiSolver,1,8.709999974598759e-07,
CombinatorialBnB,1,9.110000291912002e-07,
GurobiSolver,1,1.1280000080660102e-06,
CombinatorialBnB,1,9.169999657387962e-07,
GurobiSolver,1,3.827000000455882e-06,
CombinatorialBnB,1,1.0080000265588751e-06,
GurobiSolver,1,1.0840000186362886e-06,
CombinatorialBnB,1,1.0759999895526562e-06,
GurobiSolver,1,9.469999895372894e-07,
CombinatorialBnB,1,9.529999260848854e-07,
GurobiSolver,1,1.5690000054746633e-06,
CombinatorialBnB,1,1.2429999287633109e-06,
