solver,jobs,elapsed,error
CombinatorialBnB,20,1.222999799210811e-06,
GurobiSolver,20,2.07799985219026e-06,
CombinatorialBnB,20,9.88000010693213e-07,
GurobiSolver,20,1.401000190526247e-06,
CombinatorialBnB,20,7.720000212430023e-07,
GurobiSolver,20,1.2339996828814037e-06,
CombinatorialBnB,20,1.7130000742326956e-06,
GurobiSolver,20,1.503000021330081e-06,
CombinatorialBnB,20,7.989997357071843e-07,
GurobiSolver,20,1.523999799246667e-06,
CombinatorialBnB,20,8.339998203155119e-07,
GurobiSolver,20,1.1249999261053745e-06,
CombinatorialBnB,20,1.5199998415482696e-06,
GurobiSolver,20,9.739997040014714e-07,
CombinatorialBnB,20,9.67000232776627e-07,
GurobiSolver,20,1.455000074201962e-06,
CombinatorialBnB,20,1.0459998520673253e-06,
GurobiSolver,20,1.2850000530306716e-06,
CombinatorialBnB,20,9.770001270226203e-07,
GurobiSolver,20,1.0789999578264542e-06,
CombinatorialBnB,20,9.309997039963491e-07,
GurobiSolver,20,1.3409999155555852e-06,
CombinatorialBnB,20,1.145000169344712e-06,
GurobiSolver,20,1.2030000107188243e-06,
CombinatorialBnB,20,9.380000847158954e-07,
GurobiSolver,20,1.3260000741865952e-06,
CombinatorialBnB,20,1.5760001588205341e-06,
GurobiSolver,20,1.3569997463491745e-06,
CombinatorialBnB,20,1.868000254034996e-06,
GurobiSolver,20,3.1159997888607904e-06,
CombinatorialBnB,20,1.3779999790131114e-06,
GurobiSolver,20,1.2969999261258636e-06,
CombinatorialBnB,20,1.2820000847568735e-06,
GurobiSolver,20,1.3359999684325885e-06,
CombinatorialBnB,20,7.740000000922009e-07,
GurobiSolver,20,1.1709998943842947e-06,
CombinatorialBnB,20,1.2919999790028669e-06,
GurobiSolver,20,1.0849998943740502e-06,
CombinatorialBnB,20,1.25599990496994e-06,
GurobiSolver,20,1.1710003491316456e-06,
CombinatorialBnB,20,1.021000116452342e-06,
GurobiSolver,20,2.891999884013785e-06,
CombinatorialBnB,20,1.1550000635907054e-06,
GurobiSolver,20,1.4560000636265613e-06,
CombinatorialBnB,20,1.1359998097759672e-06,
GurobiSolver,20,2.6320003598812036e-06,
CombinatorialBnB,20,1.2059999789926223e-06,
GurobiSolver,20,1.8579999050416518e-06,
CombinatorialBnB,20,9.230002433469053e-07,
GurobiSolver,20,1.8129999261873309e-06,
CombinatorialBnB,20,9.180002962239087e-07,
GurobiSolver,20,1.1730003279808443e-06,
CombinatorialBnB,20,8.789997991698328e-07,
GurobiSolver,20,1.4649999684479553e-06,
CombinatorialBnB,20,9.539999155094847e-07,
GurobiSolver,20,1.2659997992159333e-06,
CombinatorialBnB,20,8.719998731976375e-07,
GurobiSolver,20,1.4209999790182337e-06,
CombinatorialBnB,20,8.629999683762435e-07,
GurobiSolver,20,1.517999862699071e-06,
CombinatorialBnB,20,1.0499998097657226e-06,
GurobiSolver,20,1.3970002328278497e-06,
CombinatorialBnB,20,9.689997568784747e-07,
GurobiSolver,20,1.3119997674948536e-06,
CombinatorialBnB,20,9.079999472305644e-07,
GurobiSolver,20,1.2520004020188935e-06,
CombinatorialBnB,20,3.516000106174033e-06,
GurobiSolver,20,1.6220001270994544e-06,
CombinatorialBnB,20,2.437000148347579e-06,
GurobiSolver,20,1.3479998415277805e-06,
CombinatorialBnB,20,9.43000031838892e-07,
GurobiSolver,20,1.1319998520775698e-06,
CombinatorialBnB,20,9.149998732027598e-07,
GurobiSolver,20,1.1469996934465598e-06,
CombinatorialBnB,20,8.690003596711904e-07,
GurobiSolver,20,9.589998626324814e-07,
CombinatorialBnB,20,1.0989997463184409e-06,
GurobiSolver,20,1.5109999367268756e-06,
CombinatorialBnB,20,9.929999578162096e-07,
GurobiSolver,20,1.1970000741712283e-06,
CombinatorialBnB,20,1.4860002011118922e-06,
GurobiSolver,20,1.4259999261412304e-06,
CombinatorialBnB,20,1.2330001482041553e-06,
GurobiSolver,20,1.981999957934022e-06,
CombinatorialBnB,20,1.6340000001946464e-06,
GurobiSolver,20,1.199000053020427e-06,
CombinatorialBnB,20,1.485000211687293e-06,
GurobiSolver,20,1.383000380883459e-06,
CombinatorialBnB,20,1.1299998732283711e-06,
GurobiSolver,20,1.633000010770047e-06,
CombinatorialBnB,20,1.1520000953169074e-06,
GurobiSolver,20,1.4930001270840876e-06,
CombinatorialBnB,20,1.386000349157257e-06,
GurobiSolver,20,2.1249998098937795e-06,
CombinatorialBnB,20,9.079999472305644e-07,
GurobiSolver,20,1.0039998414868023e-06,
CombinatorialBnB,20,8.719998731976375e-07,
GurobiSolver,20,1.1049996828660369e-06,
CombinatorialBnB,20,8.880001587385777e-07,
GurobiSolver,20,1.168999915535096e-06,
CombinatorialBnB,20,7.419998837576713e-07,
GurobiSolver,20,1.0320000001229346e-06,
CombinatorialBnB,20,1.7699999261822086e-06,
GurobiSolver,20,1.8460000319464598e-06,
CombinatorialBnB,20,1.419000000169035e-06,
GurobiSolver,20,3.81600011678529e-06,
CombinatorialBnB,20,1.0200001270277426e-06,
GurobiSolver,20,1.7879997358249966e-06,
CombinatorialBnB,20,9.67000232776627e-07,
GurobiSolver,20,1.2190002962597646e-06,
CombinatorialBnB,20,1.4889997146383394e-06,
GurobiSolver,20,1.1219999578315765e-06,
CombinatorialBnB,20,1.0690000635804608e-06,
GurobiSolver,20,1.3990002116770484e-06,
CombinatorialBnB,20,8.960000741353724e-07,
GurobiSolver,20,1.1280003491265234e-06,
CombinatorialBnB,20,9.509999472356867e-07,
GurobiSolver,20,1.0190001376031432e-06,
CombinatorialBnB,20,8.850001904647797e-07,
GurobiSolver,20,1.1910001376236323e-06,
CombinatorialBnB,20,9.119999049289618e-07,
GurobiSolver,20,1.4069996723264921e-06,
CombinatorialBnB,20,1.4980000742070843e-06,
GurobiSolver,20,1.3060002856946085e-06,
CombinatorialBnB,20,1.2989999049750622e-06,
GurobiSolver,20,1.8539999473432545e-06,
CombinatorialBnB,20,1.0899998414970469e-06,
GurobiSolver,20,1.2870000318798702e-06,
CombinatorialBnB,20,1.1339998309267685e-06,
GurobiSolver,20,1.5440000424860045e-06,
CombinatorialBnB,20,1.0859998837986495e-06,
GurobiSolver,20,1.461000010749558e-06,
CombinatorialBnB,20,1.0080002539325505e-06,
GurobiSolver,20,1.0710000424296595e-06,
CombinatorialBnB,20,9.48999968386488e-07,
GurobiSolver,20,1.1479996828711592e-06,
CombinatorialBnB,20,9.770001270226203e-07,
GurobiSolver,20,1.3719995877181645e-06,
CombinatorialBnB,20,1.0929998097708449e-06,
GurobiSolver,20,3.3460000850027427e-06,
CombinatorialBnB,20,1.1370002539479174e-06,
GurobiSolver,20,3.3149999580928124e-06,
CombinatorialBnB,20,8.800002433417831e-07,
GurobiSolver,20,1.1249999261053745e-06,
CombinatorialBnB,20,1.2959999367012642e-06,
GurobiSolver,20,1.717000031931093e-06,
CombinatorialBnB,20,1.0580001799098682e-06,
GurobiSolver,20,1.3769999895885121e-06,
CombinatorialBnB,20,9.589998626324814e-07,
GurobiSolver,20,1.419000000169035e-06,
CombinatorialBnB,20,9.73000169324223e-07,
GurobiSolver,20,1.210999926115619e-06,
CombinatorialBnB,20,7.640001058462076e-07,
GurobiSolver,20,1.2669997886405326e-06,
CombinatorialBnB,20,8.150000212481245e-07,
GurobiSolver,20,1.4030001693754457e-06,
CombinatorialBnB,20,8.049996722547803e-07,
GurobiSolver,20,1.2640002751140855e-06,
CombinatorialBnB,20,1.1069996617152356e-06,
GurobiSolver,20,1.5420000636368059e-06,
CombinatorialBnB,20,1.1259999155299738e-06,
GurobiSolver,20,1.5090004126250278e-06,
CombinatorialBnB,20,9.010000212583691e-07,
GurobiSolver,20,1.5080004232004285e-06,
CombinatorialBnB,20,8.279998837679159e-07,
GurobiSolver,20,1.479000275139697e-06,
CombinatorialBnB,20,9.799996405490674e-07,
GurobiSolver,20,2.12399982046918e-06,
CombinatorialBnB,20,7.129997356969398e-07,
GurobiSolver,20,1.0989997463184409e-06,
CombinatorialBnB,20,8.609999895270448e-07,
GurobiSolver,20,1.404000158800045e-06,
CombinatorialBnB,20,8.939996405388229e-07,
GurobiSolver,20,1.503000021330081e-06,
CombinatorialBnB,20,1.03899992609513e-06,
GurobiSolver,20,1.6979997781163547e-06,
CombinatorialBnB,20,1.085000349121401e-06,
GurobiSolver,20,1.238000095327152e-06,
CombinatorialBnB,20,1.2620002962648869e-06,
GurobiSolver,20,1.8700002328841947e-06,
CombinatorialBnB,20,1.1070001164625864e-06,
GurobiSolver,20,1.0450003173900768e-06,
CombinatorialBnB,20,8.910001270123757e-07,
GurobiSolver,20,1.3999997463542968e-06,
CombinatorialBnB,20,8.410002010350581e-07,
GurobiSolver,20,1.2570003491418902e-06,
CombinatorialBnB,20,8.849997357174288e-07,
GurobiSolver,20,1.2270002116565593e-06,
CombinatorialBnB,20,9.739997040014714e-07,
GurobiSolver,20,1.189999693451682e-06,
CombinatorialBnB,20,9.119999049289618e-07,
GurobiSolver,20,1.5420000636368059e-06,
CombinatorialBnB,20,1.0700000530050602e-06,
GurobiSolver,20,1.3429998944047838e-06,
CombinatorialBnB,20,8.790002539171837e-07,
GurobiSolver,20,1.6530002540093847e-06,
CombinatorialBnB,20,1.017999693431193e-06,
GurobiSolver,20,1.2360001164779533e-06,
CombinatorialBnB,20,1.0789999578264542e-06,
GurobiSolver,20,1.5280002116924152e-06,
